command,mean,stddev,median,user,system,min,max,parameter_num_bytes
./target/release/memory-alignment-tests v2 1,0.2883983937800001,0.01277823942518431,0.29052317953999995,0.28003279999999997,0.006284810000000001,0.26327647054,0.31074709654,1
./target/release/memory-alignment-tests v2 2,0.18529714846000003,0.00368158038893585,0.18457842954000003,0.18000154,0.0036960699999999975,0.18004534654,0.19615722154,2
./target/release/memory-alignment-tests v2 3,0.22905307499999997,0.0010000185935740635,0.22922799154,0.22528820000000002,0.00283883,0.22737388754,0.23195559654,3
./target/release/memory-alignment-tests v2 4,0.19872895627000006,0.0005979635864316317,0.19856697054,0.19530956000000002,0.0025169400000000005,0.19781526254,0.20132309554000002,4
./target/release/memory-alignment-tests v2 5,0.18094082212,0.0013720991524481428,0.18076257504,0.17792678999999986,0.002274399999999999,0.18026967854,0.19420863754,5
./target/release/memory-alignment-tests v2 6,0.1683980311900001,0.0006367739164654562,0.16824867904000002,0.16626080999999995,0.0014749099999999998,0.16772472054,0.17237684554000002,6
./target/release/memory-alignment-tests v2 7,0.15998898708,0.0008798754540207556,0.15981326254,0.15809254000000006,0.0013141999999999995,0.15943534554000002,0.16774180454,7
./target/release/memory-alignment-tests v2 8,0.045228907529999994,0.0004846231484709837,0.045139679540000005,0.04388885000000002,0.00099196,0.04463934554000001,0.04891451254,8
./target/release/memory-alignment-tests v2 9,0.05216475424000002,0.00030479278125692777,0.052093866540000006,0.05090172000000002,0.0009195999999999997,0.05170172154,0.053936596540000006,9
./target/release/memory-alignment-tests v2 10,0.057655725460000015,0.0001824137205167452,0.057623075040000006,0.056517160000000025,0.0008233899999999998,0.05735163754000001,0.058199804540000004,10
./target/release/memory-alignment-tests v2 11,0.08227987458000001,0.0010009906348620215,0.08213734554,0.0810099,0.0008815499999999998,0.08178259554,0.09137092954,11
./target/release/memory-alignment-tests v2 12,0.08435415542999998,0.0002256242886237376,0.08433763754000001,0.08318680999999999,0.0008001,0.08397742854000001,0.08533017954000001,12
./target/release/memory-alignment-tests v2 13,0.08637411953999997,0.00040239967989283805,0.08632553354000001,0.08515135999999998,0.0008251599999999999,0.08572180454,0.08897188754,13
./target/release/memory-alignment-tests v2 14,0.08803971802000003,0.00021571422111048348,0.08801542954000001,0.08685351999999995,0.0008084699999999997,0.08762722154000001,0.08866430454,14
./target/release/memory-alignment-tests v2 15,0.08947365215,0.0005794351513407781,0.08938326254000001,0.08833613000000001,0.0007776899999999999,0.08879738754000001,0.09427638754,15
./target/release/memory-alignment-tests v2 16,0.02951988967000001,0.00023128772032012838,0.029455409040000005,0.02863294000000001,0.0006336599999999998,0.029148679540000007,0.030416012540000002,16
./target/release/memory-alignment-tests v2 17,0.029475045879999988,0.00042032922681175297,0.029376429040000006,0.02846461999999999,0.0007539999999999994,0.029009428540000007,0.03163388754,17
./target/release/memory-alignment-tests v2 18,0.03301656087,0.00022885019122632216,0.03299770004,0.032031300000000006,0.0007219300000000001,0.032655387540000004,0.033890387540000004,18
./target/release/memory-alignment-tests v2 19,0.048255842530000016,0.00018596226161444,0.04822497054000001,0.04723085999999999,0.0007339299999999997,0.047949429540000005,0.04929067854000001,19
./target/release/memory-alignment-tests v2 20,0.0512610613,0.00020955436474894929,0.05125170004,0.050250679999999985,0.0007063499999999999,0.05096542854,0.05213926254,20
./target/release/memory-alignment-tests v2 21,0.05410415002999998,0.00022894938233523768,0.05411736654,0.05308774999999998,0.0007084000000000001,0.053698304540000005,0.055133262540000005,21
./target/release/memory-alignment-tests v2 22,0.056591821309999985,0.00019776384620372395,0.05658067954000001,0.05559899000000001,0.0006846599999999995,0.056206721540000004,0.057159512540000006,22
./target/release/memory-alignment-tests v2 23,0.05886587208000002,0.00036637199382463613,0.05880826204,0.057848689999999994,0.0006795300000000001,0.058426220540000004,0.06141901254000001,23
./target/release/memory-alignment-tests v2 24,0.033746003060000015,0.0001505977779714863,0.03375142954,0.032885349999999994,0.0006050100000000001,0.033416762540000006,0.034059720540000005,24
./target/release/memory-alignment-tests v2 25,0.03246508757,0.0002796572439797559,0.032446241540000004,0.0315806,0.0006264799999999998,0.03208701254,0.034653096540000004,25
./target/release/memory-alignment-tests v2 26,0.03530667963000001,0.00015437347834497024,0.03529222054,0.034504929999999996,0.0005640099999999999,0.03497526254,0.03591617954,26
./target/release/memory-alignment-tests v2 27,0.04625549799,0.00023730444016573164,0.04621317954,0.045334579999999985,0.0006359100000000001,0.045741846540000006,0.04701672054000001,27
./target/release/memory-alignment-tests v2 28,0.04851676918,0.0005044816111572038,0.04844211704000001,0.04760900000000001,0.0006242299999999998,0.048098762540000006,0.05270363754000001,28
./target/release/memory-alignment-tests v2 29,0.05052363172,0.0002511212204145086,0.050507096040000005,0.04965760999999998,0.0005910099999999998,0.050122512540000004,0.05203163754,29
./target/release/memory-alignment-tests v2 30,0.05255716712999999,0.0002336707938751103,0.05255120004,0.05169294,0.0005877499999999998,0.052161678540000006,0.053760303540000005,30
./target/release/memory-alignment-tests v2 31,0.05423301411,0.00016660169247447216,0.05422342904000001,0.05340210999999999,0.0005600599999999997,0.05390955454000001,0.05462792954,31
./target/release/memory-alignment-tests v2 32,0.028836448779999996,0.0002047930547388634,0.028813367040000003,0.028069760000000006,0.0005330499999999998,0.028463804540000002,0.02988801254,32
./target/release/memory-alignment-tests v2 33,0.02811494469000001,0.00017211194147047113,0.028094658040000005,0.02730476999999999,0.0005734899999999997,0.027762762540000003,0.028512512540000003,33
./target/release/memory-alignment-tests v2 34,0.030546568359999977,0.00023693769859335314,0.030522950040000003,0.02969851,0.0006076499999999999,0.030206804540000007,0.03212013754,34
./target/release/memory-alignment-tests v2 35,0.0388752384,0.00016953535445648885,0.038857054040000005,0.03805407,0.0005759799999999999,0.038515554540000004,0.039430929540000006,35
./target/release/memory-alignment-tests v2 36,0.04098494039,0.00021630583517691658,0.04094615804,0.040128950000000004,0.0005959099999999997,0.04057038754,0.04210942854000001,36
./target/release/memory-alignment-tests v2 37,0.04279510132,0.0002811276468213408,0.04274792904000001,0.04192518000000001,0.0005938800000000001,0.04243955354,0.04468076254,37
./target/release/memory-alignment-tests v2 38,0.04435002871000001,0.0001664953528146958,0.04433117904,0.043560060000000025,0.00055053,0.04404305354,0.045178595540000005,38
./target/release/memory-alignment-tests v2 39,0.04624334424,0.00018894033488210928,0.04620890904000001,0.045390749999999994,0.0005917600000000001,0.045832095540000006,0.047188053540000004,39
./target/release/memory-alignment-tests v2 40,0.026005145511153852,0.0001849722855940651,0.025992012540000005,0.025238041538461528,0.0005469949999999999,0.025691803540000002,0.026871012540000003,40
./target/release/memory-alignment-tests v2 41,0.025353686268971967,0.00018000955775744157,0.025336720540000003,0.024611771588785046,0.0005272087850467287,0.025014137540000002,0.026320721540000005,41
./target/release/memory-alignment-tests v2 42,0.027437085950000002,0.0004986719933050887,0.027327200040000003,0.026671950000000003,0.0005418099999999998,0.027042512540000004,0.030332679540000004,42
./target/release/memory-alignment-tests v2 43,0.03442241879000001,0.00018597338274208174,0.034388200040000004,0.03363898999999999,0.0005433699999999997,0.03414559654,0.03541880354,43
./target/release/memory-alignment-tests v2 44,0.03608344418000001,0.00018288599794703063,0.03607615854,0.035294099999999995,0.0005472599999999996,0.035587053540000003,0.036980428540000006,44
./target/release/memory-alignment-tests v2 45,0.03756391330999998,0.00017657701333405996,0.03756890854,0.03682244,0.0005102599999999999,0.03723863754,0.03815542954,45
./target/release/memory-alignment-tests v2 46,0.039254118350000006,0.00021525371849774166,0.039244304040000004,0.038472809999999996,0.00054057,0.038794554540000005,0.040415428540000006,46
./target/release/memory-alignment-tests v2 47,0.04081020712,0.00026934073434832826,0.040762825540000006,0.04001503000000001,0.0005396999999999998,0.040451053540000004,0.04265951254000001,47
./target/release/memory-alignment-tests v2 48,0.02391831162928571,0.00017618465053084696,0.02389901304,0.023235999642857153,0.00047321821428571436,0.023606012540000002,0.024451512540000005,48
./target/release/memory-alignment-tests v2 49,0.02360769857508772,0.0001492916621229475,0.02361953354,0.022878571228070178,0.0005155322807017542,0.023327012540000004,0.024003970540000003,49
./target/release/memory-alignment-tests v2 50,0.025442878605420573,0.00015462493866921323,0.025442804540000002,0.02466297719626168,0.0005542928971962614,0.025066804540000005,0.026055595540000004,50
./target/release/memory-alignment-tests v2 51,0.031294270529999994,0.0001528248684241493,0.03129367904000001,0.030546499999999997,0.0005236799999999999,0.030977845540000007,0.03173355454,51
./target/release/memory-alignment-tests v2 52,0.03275864169000001,0.00025537338289002343,0.03273097054,0.031971059999999996,0.0005477699999999999,0.03232867954,0.03426322054000001,52
./target/release/memory-alignment-tests v2 53,0.03426112377000001,0.0010494178672566194,0.034145450040000004,0.03339403000000002,0.0005270999999999997,0.033817970540000006,0.044438137540000006,53
./target/release/memory-alignment-tests v2 54,0.03567462751999999,0.00022754070454849147,0.035607116540000004,0.034853579999999995,0.0005625400000000002,0.03524326254,0.036500096540000006,54
./target/release/memory-alignment-tests v2 55,0.03694540376000001,0.000205495565095283,0.03692926254000001,0.03616789000000001,0.0005415200000000001,0.036618137540000005,0.03798397154,55
./target/release/memory-alignment-tests v2 56,0.022602028116271187,0.0001566949722951283,0.022605554540000003,0.021934334237288137,0.00047682338983050867,0.022285179540000002,0.022988471540000003,56
./target/release/memory-alignment-tests v2 57,0.022250950390000006,0.00016011264068955435,0.022230637540000004,0.021577488333333346,0.0004707949999999998,0.021950178540000004,0.022689887540000002,57
./target/release/memory-alignment-tests v2 58,0.02397763353115045,0.0006323018441078636,0.023880512540000003,0.02322592955752212,0.000524133274336283,0.023627929540000002,0.029947304540000004,58
./target/release/memory-alignment-tests v2 59,0.029113660480000005,0.0005508498764957017,0.028990846040000004,0.02836242999999999,0.0005142699999999998,0.028621637540000005,0.03193872054000001,59
./target/release/memory-alignment-tests v2 60,0.030242026360000004,0.00017654441055115896,0.030235366540000006,0.029526859999999995,0.0005067699999999998,0.029848012540000003,0.030950012540000002,60
./target/release/memory-alignment-tests v2 61,0.03149092840000001,0.0001274272960621765,0.03148615854,0.03080357999999999,0.0004741299999999999,0.03120213754,0.03182197054,61
./target/release/memory-alignment-tests v2 62,0.03290935591,0.00018551286752276346,0.032888867040000005,0.032152440000000004,0.00052705,0.032542803540000005,0.033682845540000006,62
./target/release/memory-alignment-tests v2 63,0.034095917950000006,0.00023407185591431905,0.034059137540000006,0.03337323000000001,0.0004947799999999996,0.03375126254000001,0.035457012540000006,63
./target/release/memory-alignment-tests v2 64,0.009404710882975198,0.00021441005503865376,0.009410304040000001,0.0087889147107438,0.00044966545454545393,0.00889813754,0.010154221540000001,64
./target/release/memory-alignment-tests v2 65,0.011206826471506849,0.00020113387826494803,0.01121563754,0.01055919415525114,0.00047430949771689484,0.01070147054,0.01168667854,65
./target/release/memory-alignment-tests v2 66,0.012102371460792082,0.0002963165389452489,0.01208759654,0.011396055247524748,0.0005170061386138613,0.01152467954,0.013512803540000002,66
./target/release/memory-alignment-tests v2 67,0.015979350447407416,0.00013097843033645377,0.015976325040000003,0.015287166419753084,0.0004917804938271601,0.015695220540000002,0.016265137540000002,67
./target/release/memory-alignment-tests v2 68,0.017385402300000012,0.0001968410314851299,0.01736336704,0.01667154,0.0005126199999999998,0.016980137540000002,0.018288345540000004,68
./target/release/memory-alignment-tests v2 69,0.01862955098680851,0.0001928829897853109,0.018603179540000004,0.017945647375886525,0.0004887547517730497,0.018280095540000003,0.019383762540000002,69
./target/release/memory-alignment-tests v2 70,0.019963888166865673,0.0002255436434549029,0.019920574540000003,0.019254482985074636,0.0005108214925373132,0.01957009654,0.021147304540000002,70
./target/release/memory-alignment-tests v2 71,0.021360908803999996,0.00046180054226812196,0.021239595540000003,0.020585279999999997,0.0005274199999999998,0.020920428540000004,0.024502846540000005,71
./target/release/memory-alignment-tests v2 72,0.010214008393448272,0.00022998415383232337,0.010211533040000002,0.009557187758620696,0.00047766741379310333,0.009683262540000001,0.01144192854,72
./target/release/memory-alignment-tests v2 73,0.01083025578074074,0.00018884747323867,0.010849783040000002,0.010176982777777774,0.00047220333333333346,0.010372846540000001,0.011320221540000001,73
./target/release/memory-alignment-tests v2 74,0.011040772476073057,0.00022050158787398794,0.011065096540000001,0.01040198410958905,0.00045938255707762534,0.010595054540000001,0.01156476254,74
./target/release/memory-alignment-tests v2 75,0.014379773585197748,0.000192157494563758,0.01435338754,0.013690057401129932,0.0004934053107344633,0.014052637540000001,0.015623845540000002,75
./target/release/memory-alignment-tests v2 76,0.0155903651497561,0.00015655244236022407,0.015578075040000002,0.014912714146341467,0.00048023585365853625,0.015322512540000001,0.016083846540000002,76
./target/release/memory-alignment-tests v2 77,0.0168280399335484,0.00015180986897044807,0.01681263754,0.01614764774193549,0.0004816199999999997,0.01653630454,0.017466762540000003,77
./target/release/memory-alignment-tests v2 78,0.01809502604344828,0.00040579005406288964,0.018041137540000002,0.01737998344827587,0.0005043855172413791,0.017719553540000002,0.021536262540000004,78
./target/release/memory-alignment-tests v2 79,0.019198870211532843,0.00018602081207425746,0.019176054540000004,0.018504612846715333,0.0004897732846715325,0.018894554540000004,0.02031209654,79
./target/release/memory-alignment-tests v2 80,0.010006917792173916,0.00018580490890405567,0.01000074104,0.009376493043478262,0.0004649069565217387,0.00963667954,0.01060338754,80
./target/release/memory-alignment-tests v2 81,0.010799334985945956,0.00024611360008878927,0.01078499154,0.010122607027027025,0.0004889848648648645,0.01040076254,0.01183597054,81
./target/release/memory-alignment-tests v2 82,0.011435521924976528,0.00021832950530993156,0.011432803540000001,0.010768948544600938,0.00048364347417840397,0.01087101254,0.011997012540000001,82
./target/release/memory-alignment-tests v2 83,0.013135659497446807,0.00014571136697921015,0.01312399204,0.01249077680851064,0.0004635508510638296,0.01285242954,0.01360205354,83
./target/release/memory-alignment-tests v2 84,0.014321271557045444,0.00015163230813213817,0.01431615904,0.013633307272727274,0.0004909438636363637,0.01403426254,0.01496909554,84
./target/release/memory-alignment-tests v2 85,0.015404963341204819,0.0001396273485862094,0.01538569954,0.014727296867469885,0.0004772163855421686,0.015112553540000002,0.01601880354,85
./target/release/memory-alignment-tests v2 86,0.01649497265464968,0.00018809698319337365,0.016478054540000002,0.015799736050955412,0.0004995563057324836,0.016176012540000003,0.01731213754,86
./target/release/memory-alignment-tests v2 87,0.017524246979189195,0.00015058907437427542,0.017519513040000004,0.016834870540540534,0.0004878564864864864,0.017211845540000003,0.017924512540000003,87
./target/release/memory-alignment-tests v2 88,0.011200267058691584,0.000162306900102433,0.011183950540000001,0.010545065981308409,0.0004723583177570089,0.01089134554,0.011946804540000001,88
./target/release/memory-alignment-tests v2 89,0.011218786967906975,0.0001821565253254935,0.01121122054,0.01056889395348837,0.0004681223255813953,0.01085509554,0.012214470540000001,89
./target/release/memory-alignment-tests v2 90,0.012164874825714272,0.00016697024293469315,0.01215030454,0.011538242561576355,0.00044820620689655185,0.011879137540000001,0.01305309554,90
./target/release/memory-alignment-tests v2 91,0.01565560460172839,0.0002383882650546121,0.01561224154,0.014922888641975307,0.0005024780246913583,0.01536730454,0.016839762540000004,91
./target/release/memory-alignment-tests v2 92,0.01660870878516129,0.0001402284216377601,0.016619887540000003,0.01594069290322581,0.0004714909677419354,0.016319512540000004,0.017071054540000002,92
./target/release/memory-alignment-tests v2 93,0.01760896608362416,0.00016939753438752905,0.017602554540000002,0.016916321610738267,0.00048757973154362405,0.017313637540000003,0.01847205454,93
./target/release/memory-alignment-tests v2 94,0.018594829972624117,0.0001481663783483816,0.018594137540000003,0.01792063319148936,0.0004747689361702124,0.01832009554,0.019131262540000003,94
./target/release/memory-alignment-tests v2 95,0.01955749519185185,0.00018916078454597702,0.019546929540000004,0.01885152444444444,0.0004966125925925925,0.019212595540000002,0.02068530354,95
./target/release/memory-alignment-tests v2 96,0.011400542540000011,0.0001306354190679068,0.01138580454,0.010758767203791469,0.00045235933649289095,0.01113292854,0.01179442854,96
./target/release/memory-alignment-tests v2 97,0.011530517832452828,0.00014428756056888205,0.011519888040000002,0.010847136603773594,0.0004718794339622637,0.011215678540000001,0.01193647054,97
./target/release/memory-alignment-tests v2 98,0.012513203883915344,0.00035330275038124206,0.01244480454,0.011773836613756613,0.0005143607407407406,0.01212930454,0.01508488754,98
./target/release/memory-alignment-tests v2 99,0.015518177867044028,0.00020239041125568933,0.015474970540000002,0.01484462716981132,0.0004786451572327041,0.015259887540000001,0.016383054540000004,99
./target/release/memory-alignment-tests v2 100,0.016525221673757962,0.00017633190242144318,0.016505262540000003,0.015768411210191076,0.0005163843312101908,0.01618088754,0.017470137540000003,100
./target/release/memory-alignment-tests v2 101,0.017404123244697995,0.000145985172567725,0.01739705454,0.016662731006711406,0.000491297852348993,0.01714642854,0.018272762540000004,101
./target/release/memory-alignment-tests v2 102,0.018419301630909095,0.00018114762164727282,0.01839267954,0.017628031048951057,0.0005184381818181816,0.018111637540000003,0.019364637540000004,102
./target/release/memory-alignment-tests v2 103,0.019236935664999993,0.00015170651475102434,0.01923274154,0.018483477058823524,0.0004939876470588235,0.018889554540000002,0.01964534554,103
./target/release/memory-alignment-tests v2 104,0.011720281318846145,0.0001467428868750849,0.01170934604,0.011010834807692315,0.00047987961538461507,0.011458012540000001,0.01278130354,104
./target/release/memory-alignment-tests v2 105,0.01162938003275363,0.0001429979006551336,0.01160367954,0.010964558260869567,0.0004580499516908214,0.01137997154,0.012043929540000001,105
./target/release/memory-alignment-tests v2 106,0.012555912752121213,0.00021234495143990527,0.01251526254,0.011878933535353534,0.00046922101010100984,0.012224512540000001,0.013784179540000002,106
./target/release/memory-alignment-tests v2 107,0.015528490431566257,0.00015288325918837888,0.015506867040000002,0.014780917349397595,0.000497397108433735,0.015247387540000002,0.01627917854,107
